sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
0,08f44f055a9a016e0390f050aa3c93c0,480,g736EKijhJTrQbqoQAo9Tw,0.5188,tie,0.55,0.55,goin' postal jacksonville,goin' postal jacksonville,pet trailer mobile grooming,tie,0.0,0.0,"['shipping_center', 'freight_and_cargo_service', 'post_office']","['vehicle_shipping', 'courier_and_delivery_services', 'mailbox_center', 'shipping_center', 'post_office', 'automotive']","['pet_services', 'pet_groomers', 'pet_sitting', 'pets']",non_base,0.4720000000000001,0.41600000000000004,"{'address': '7643 gate pkwy', 'city': 'jacksonville', 'state': 'FL', 'postal_code': '32256'}","{'address': '7643 gate pkwy ste 104', 'city': 'jacksonville', 'state': 'FL', 'postal_code': '32256'}","{'address': '6153 103rd ave n', 'city': 'pinellas park', 'state': 'FL', 'postal_code': '33782'}"
1,08f29a456e42e5830324637954145c50,1963,ad20p91cUnFe6hCvwzUVdA,0.5264,tie,0.55,0.55,valley transmission,valley transmission,mission appliance service,tie,0.0,0.0,"['automotive_repair', 'automotive', 'professional_services']","['transmission_repair', 'automotive']","['appliances_&_repair', 'local_services', 'home_&_garden', 'shopping', 'appliances']",tie,0.491,0.491,"{'address': '1158 n 2nd st', 'city': 'el cajon', 'state': 'CA', 'postal_code': '92021'}","{'address': '1158 n 2nd st', 'city': 'el cajon', 'state': 'CA', 'postal_code': '92021'}","{'address': '6598 camino venturoso', 'city': 'goleta', 'state': 'CA', 'postal_code': '93117'}"
3,1407374885933937,492,hE1ouPLiGQiAkiOacnZVLw,0.5332000000000001,base,0.44,0.67,red wing - roswell ga,red wing,nevada towing,tie,0.0,0.0,"['shoe_store', 'online_shop', 'retail']","['shoe_store', 'online_shop', 'retail']","['self_storage', 'local_services', 'automotive', 'towing', 'used_car_dealers', 'roadside_assistance', 'car_dealers']",base,0.30800000000000005,0.32800000000000007,"{'address': '875 mansell rd b1', 'city': 'roswell', 'state': 'GA', 'postal_code': '30076'}","{'address': '875 mansell rd ste b1', 'city': 'roswell', 'state': 'GA', 'postal_code': '30076'}","{'address': '13855 mount anderson st', 'city': 'reno', 'state': 'NV', 'postal_code': '89506'}"
5,1125899912143279,15449,qq7sVMcG2dsL77D400p0WA,0.5132000000000001,tie,0.54,0.54,newport institute,newport institute,brooks institute of photography,tie,0.0,0.0,"['doctor', 'health_and_medical']","['doctor', 'health_and_medical']","['education', 'specialty_schools']",base,0.4610000000000001,0.4730000000000001,"{'address': '43821 shady crk', 'city': 'temecula', 'state': 'CA', 'postal_code': '92590'}","{'address': '43821 shady creek', 'city': 'temecula', 'state': 'CA', 'postal_code': '92590'}","{'address': '1321 alameda padre serra', 'city': 'santa barbara', 'state': 'CA', 'postal_code': '93103'}"
6,08f2aa879200ab960398d7c665470cf4,931,97yrCvZXdnMhmCtM8qmKFw,0.4788,non_base,0.56,0.54,comfort inn alexandria west - landmark,comfort inn landmark,comfort inn marrero - new orleans west,tie,0.0,0.0,['hotel'],['hotel'],"['hotels', 'hotels_&_travel', 'event_planning_&_services']",tie,0.357,0.357,"{'address': '6254 duke st', 'city': 'alexandria', 'state': 'VA', 'postal_code': '22312'}","{'address': '6254 duke st', 'city': 'alexandria', 'state': 'VA', 'postal_code': '22312'}","{'address': '6751 westbank expressway', 'city': 'marrero', 'state': 'LA', 'postal_code': '70072'}"
8,1407374891126949,9101,em474WuTw7-OkhPfX4EohA,0.23960000000000006,tie,0.06,0.06,nextcare urgent care gastonia,nextcare urgent care gastonia,ihop,tie,0.0,0.0,"['doctor', 'medical_center', 'urgent_care_clinic', 'health_and_medical']","['doctor', 'medical_center', 'urgent_care_clinic', 'health_and_medical']","['breakfast_&_brunch', 'coffee_&_tea', 'food', 'american_(new)', 'diners', 'restaurants', 'american_(traditional)', 'burgers']",tie,0.5090000000000001,0.5090000000000001,"{'address': '3680 robinwood rd', 'city': 'gastonia', 'state': 'NC', 'postal_code': '28054'}","{'address': '3680 robinwood rd', 'city': 'gastonia', 'state': 'NC', 'postal_code': '28054'}","{'address': '702 blowing rock rd', 'city': 'boone', 'state': 'NC', 'postal_code': '28607'}"
10,08f48d621e8c9db103fd54168e9fe11c,68,lOP3HxdUTaq0eXhwR_KC-w,0.4544,base,0.51,0.56,pettigrew and associates,pettigrew & associates,sweet things chocolates,tie,0.0,0.0,"['engineering_services', 'land_surveying', 'commercial_industrial']","['civil_engineers', 'land_surveying', 'engineering_services', 'agricultural_engineering_service', 'structural_engineer', 'real_estate_service', 'b2b_agriculture_and_food', 'business_to_business']","['chocolatiers_&_shops', 'specialty_food', 'candy_stores', 'food']",tie,0.29600000000000004,0.29600000000000004,"{'address': '100 e navajo dr', 'city': 'hobbs', 'state': 'NM', 'postal_code': '88240'}","{'address': '100 e navajo dr', 'city': 'hobbs', 'state': 'NM', 'postal_code': '88240'}","{'address': '2288 w 86th st', 'city': 'indianapolis', 'state': 'IN', 'postal_code': '46260'}"
11,08f44e8346794333033a01eb53999680,631,V8uKFuHyHKSOWojuhcP-2A,0.644,tie,0.85,0.85,jeremiah's italian ice,jeremiah's italian ice,rita's italian ice,tie,0.0,0.0,"['ice_cream_shop', 'bakery', 'diner']","['ice_cream_and_frozen_yoghurt', 'restaurant']","['desserts', 'food', 'ice_cream_&_frozen_yogurt', 'shaved_ice']",non_base,0.3350000000000001,0.28700000000000003,"{'address': '790 montgomery hwy', 'city': 'vestavia hills', 'state': 'AL', 'postal_code': '35216'}","{'address': '790 montgomery highway ste 106', 'city': 'vestavia hills', 'state': 'AL', 'postal_code': '35216'}","{'address': '390 york rd', 'city': 'warminster', 'state': 'PA', 'postal_code': '18974'}"
12,1407374887100674,126,anLQj9AM8vjbcLSIE0iUgg,0.5096,non_base,0.7,0.44,murphy usa,murphy express,papa murphy's,tie,0.0,0.0,"['convenience_store', 'gas_station', 'automotive', 'retail']","['convenience_store', 'gas_station', 'automotive', 'retail']","['pizza', 'restaurants']",tie,0.22400000000000003,0.22400000000000003,"{'address': '4448 sunset blvd', 'city': 'lexington', 'state': 'SC', 'postal_code': '29072'}","{'address': '4448 sunset blvd', 'city': 'lexington', 'state': 'SC', 'postal_code': '29072'}","{'address': '7250 north la cholla, suite 186', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85741'}"
13,08f2ab2c4b89449a03e88d9391424fd1,410,FAWhZ5nasogf2oG_9h7yjg,0.42679999999999996,tie,0.48,0.48,certa opportune,certa opportune,storage of america,tie,0.0,0.0,"['sign_making', 'graphic_designer', 'screen_printing_t_shirt_printing']",['sign_making'],"['self_storage', 'local_services']",base,0.129,0.34700000000000003,"{'address': '2556 central ave unit b', 'city': '', 'state': '', 'postal_code': 'N8W 4J5'}","{'address': '2556 central avenue, unit b', 'city': 'windsor', 'state': 'ON', 'postal_code': 'N8W 4J5'}","{'address': '7339 e washington st', 'city': 'indianapolis', 'state': 'IN', 'postal_code': '46219'}"
